app,keybinding,function
firefox,F6,Move to the next frame
firefox,Shift + F6,Move to the prev frame
firefox,Ctrl + w,Close Tab - except for Pinned Tabs
firefox,Ctrl + q,Quit
firefox,Ctrl + h,Go one Tab to the Left
firefox,Ctrl + l,Go one Tab to the Right
firefox,Ctrl + m,Mute/Unmute Audio
firefox,Ctrl + t,New Tab
firefox,Ctrl + n,New Window
firefox,Ctrl + Shift + p,New Private Window
firefox,Ctrl + Shift + t,Undo Close Tab
firefox,Ctrl + Shift + n,Undo Close Window
firefox,Ctrl + Shift + i,Toggle Developer Tools
firefox,Ctrl + Shift + k,Web Console
firefox,Ctrl + Shift + m,Responsive Design View
firefox,Shift + Del,Delete Selected Autocomplete Entry
firefox,Ctrl + Alt + R,Toggle Reader Mode
firefox,Alt + D,Focus Address Bar
firefox,Shift + h,Go Back
firefox,Shift + l,Go Forward
firefox,Shift + J,Previous Tab
firefox,Shift + K,Next Tab
firefox,Ctrl + Shift + t,Undo close tab
firefox,r,Reload
firefox,o,Focus url bar
firefox,H,Back
firefox,L,Forward
firefox,t,New Tab
firefox,x,Close Tab
firefox,f,Follow / Focus Text / Click Button

